Source page: http://data1.cde.ca.gov/dataquest/2000Base_Co.asp?cYear=&cSelect=38,SAN,FRANCISCO,,,,,,,,
link,link/_text,link/_title,content,value_1,value_2,value_3,value_4,value_5,value_6,value_7
,,,,STAR,Students,,2000,2000,2000-,
,,,,2000,Included,2000,State-,Similar,2001,2001
,,,Click on column header link to view notes.,Percent,in the,API,wide,Schools,Growth,API
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041339&DistCode=68478&AllCds=38684786041339,Lawton Elementary,,Lawton Elementary,100,480,868,10,10,#,#
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6102479&DistCode=68478&AllCds=38684786102479,Lilienthal (Claire B.) Elementary,,Lilienthal (Claire B.) Elementary,99,376,795,8,2,1,796
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041362&DistCode=68478&AllCds=38684786041362,Longfellow Elementary,,Longfellow Elementary,89,273,808,9,10,#,#
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041586&DistCode=68478&AllCds=38684786041586,Malcolm X Academy (Elem),,Malcolm X Academy (Elem),96,243,549,3,6,13,562
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041412&DistCode=68478&AllCds=38684786041412,Marshall Elementary,,Marshall Elementary,81,146,498,2,2,15,513
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041016&DistCode=68478&AllCds=38684786041016,McCoppin (Frank) Elementary,,McCoppin (Frank) Elementary,90,201,755,8,9,2,757
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041420&DistCode=68478&AllCds=38684786041420,McKinley Elementary,,McKinley Elementary,91,107,632,4,6,8,640
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6040919&DistCode=68478&AllCds=38684786040919,Milk (Harvey) Civil Rights Elementary,,Milk (Harvey) Civil Rights Elementary,84,131,550,3,2,13,563
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041438&DistCode=68478&AllCds=38684786041438,Miraloma Elementary,,Miraloma Elementary,94,164,602,4,2,10,612
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041446&DistCode=68478&AllCds=38684786041446,Monroe Elementary,,Monroe Elementary,86,254,582,3,1,11,593
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6099154&DistCode=68478&AllCds=38684786099154,Moscone (George R.) Elementary,,Moscone (George R.) Elementary,86,182,801,9,10,#,#
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041255&DistCode=68478&AllCds=38684786041255,Muir (John) Elementary,,Muir (John) Elementary,82,152,558,3,7,12,570
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6097919&DistCode=68478&AllCds=38684786097919,New Traditions Center,,New Traditions Center,98,108,697,6,2,5,702
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041271&DistCode=68478&AllCds=38684786041271,Ortega (Jose) Elementary,,Ortega (Jose) Elementary,79,191,655,5,2,7,662
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041206&DistCode=68478&AllCds=38684786041206,Parker (Jean) Elementary,,Parker (Jean) Elementary,78,188,678,6,10,6,684
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041503&DistCode=68478&AllCds=38684786041503,Parks (Rosa) Elementary,,Parks (Rosa) Elementary,86,162,692,6,9,5,697
