Source page: http://data1.cde.ca.gov/dataquest/Acnt2012/2011Base_Co.aspx?cYear=&cSelect=38,SAN,FRANCISCO,,,,,,,,,,
col_link,col_link/_text,col_link/_title,links,links/_text,links/_title,col_number_1,col_number_2,ranks_value_1,ranks_value_2,targets_value_1,targets_value_2,links_numbers
,,,http://www.cde.ca.gov/ta/ac/ap/glossary12b.asp#ga2; http://www.cde.ca.gov/ta/ac/ap/glossary12b.asp#ga3; http://www.cde.ca.gov/ta/ac/ap/glossary12b.asp#ga4; http://www.cde.ca.gov/ta/ac/ap/glossary12b.asp#ga5; http://www.cde.ca.gov/ta/ac/ap/glossary12b.asp#ga6; http://www.cde.ca.gov/ta/ac/ap/glossary12b.asp#ga7,Number of Students Included in the 2011 API; 2011 Base API; 2011 Statewide Rank; 2011 Similar Schools Rank; 2011 -12 Growth Target; 2011 API Target,,,,,,,,2011; 2011; 2011; 2011; 2011; -12; 2011
http://data1.cde.ca.gov/dataquest/Acnt2012/2011Base_DstAPI.aspx?cYear=2011-12&allcds=3810389&cChoice=2011BApiD,San Francisco County Office of,,,,,223,428,B,B,B,B,
http://data1.cde.ca.gov/dataquest/Acnt2012/Flag11BaseSch.aspx?flag=4&allcds=38103896069561,San Francisco County Special Education,,,,,,,,,,,
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38103893830445,Civic Center Secondary,,,,,29,655,B,B,7,662,
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38103893830361,San Francisco County Court Woodside Lear,,,,,21,355,B,B,22,377,
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38103893830395,San Francisco County Opportunity,,,,,28,479,B,B,16,495,
http://data1.cde.ca.gov/dataquest/Acnt2012/2011Base_DstAPI.aspx?cYear=2011-12&allcds=3868478&cChoice=2011BApiD,San Francisco Unified,,,,,37080,796,B,B,B,B,
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786040695,Alamo Elementary,,,,,331,896,9,3,A,A,
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786113245,Alice Fong Yu Elementary,,,,,414,955,10,9,A,A,
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786040703,Alvarado Elementary,,,,,332,847,7,4,A,A,
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786040737,Argonne Elementary,,,,,261,883,9,2,A,A,
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786040752,Bessie Carmichael/FEC,,,,,479,750,2,2,5,755,
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786040760,Bret Harte Elementary,,,,,137,650,1,2,8,658,
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786040778,Bryant Elementary,,,,,147,701,1,2,5,706,
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786072094,Buena Vista,,,,,251,765,3,1,5,770
http://data1.cde.ca.gov/dataquest/Acnt2012/Flag11BaseSch.aspx?flag=2&allcds=38684786041149,Cesar Chavez Elementary,,,,,,,,,,
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786104673,Charles Drew College Preparatory Academy,,,,,121,612,1,1,9,621
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786102479,Claire Lilienthal Elementary,,,,,489,906,9,4,A,A
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786040828,Clarendon Alternative Elementary,,,,,356,945,10,3,A,A
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786040836,Cleveland Elementary,,,,,191,665,1,1,7,672
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786040851,Commodore Sloat Elementary,,,,,240,887,9,7,A,A
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786112601,Creative Arts Charter,,,,,176,777,4,1,5,782
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786040893,Daniel Webster Elementary,,,,,112,672,1,1,6,678
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684780111427,Dianne Feinstein Elementary,,,,,284,889,9,2,A,A
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786040943,Edward R. Taylor Elementary,,,,,422,887,9,10,A,A
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786040950,El Dorado Elementary,,,,,177,700,1,1,5,705
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786040984,Fairmount Elementary,,,,,222,764,3,2,5,769
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786041008,Francis Scott Key Elementary,,,,,324,884,9,5,A,A
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786041016,Frank McCoppin Elementary,,,,,151,866,8,7,A,A
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786041040,Garfield Elementary,,,,,156,812,6,3,A,A
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786041065,George Peabody Elementary,,,,,148,902,9,8,A,A
http://data1.cde.ca.gov/dataquest/Acnt2012/2011BaseSch.aspx?cYear=2011-12&allcds=38684786099154,George R. Moscone Elementary,,,,,213,845,7,9,A,A
