Source page: http://data1.cde.ca.gov/dataquest/API2005/2004Base_Co.aspx?cYear=&cSelect=38,SAN,FRANCISCO,
links,links/_text,links/_title,content
,,,Ranks Ranks Targets Targets
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041156,Hillcrest Elementary,,Hillcrest Elementary 297 635 2 1 8 643
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041230,Jefferson Elementary,,Jefferson Elementary 311 841 9 8 A A
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041305,Lafayette Elementary,,Lafayette Elementary 274 798 8 7 1 799
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041321,Lakeshore Elementary,,Lakeshore Elementary 370 788 8 5 1 789
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786040877,Lau (Gordon J) Elementary,,Lau (Gordon J) Elementary 410 768 7 10 2 770
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041339,Lawton Elementary,,Lawton Elementary 461 858 9 6 A A
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786102479,Lilienthal (Claire B.) Elementary,,Lilienthal (Claire B.) Elementary 486 846 9 4 A A
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041362,Longfellow Elementary,,Longfellow Elementary 346 793 8 9 1 794
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041586,Malcolm X Academy (Elem),,Malcolm X Academy (Elem) 144 553 1 1 12 565
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041412,Marshall Elementary,,Marshall Elementary 141 668 3 7 7 675
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041016,McCoppin (Frank) Elementary,,McCoppin (Frank) Elementary 194 770 7 5 2 772
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041420,McKinley Elementary,,McKinley Elementary 104 717 5 8 4 721
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786040919,Milk (Harvey) Civil Rights Element,,Milk (Harvey) Civil Rights Element 144 665 3 2 7 672
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041438,Miraloma Elementary,,Miraloma Elementary 166 672 3 1 6 678
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041446,Monroe Elementary,,Monroe Elementary 297 704 4 4 5 709
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786099154,Moscone (George R.) Elementary,,Moscone (George R.) Elementary 223 814 8 10 A A
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041255,Muir (John) Elementary,,Muir (John) Elementary 175 630 2 5 9 639
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786097919,New Traditions Elementary,,New Traditions Elementary 108 677 3 2 6 683
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041271,Ortega (Jose) Elementary,,Ortega (Jose) Elementary 200 711 5 5 4 715
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041206,Parker (Jean) Elementary,,Parker (Jean) Elementary 205 764 7 10 2 766
