Source page: http://data1.cde.ca.gov/dataquest/2001Base_Co.asp?cYear=&cSelect=38,SAN,FRANCISCO,,,,,,,,
link,link/_text,link/_title,content,value_1,value_2,value_3,value_4,value_5,value_6,value_7
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041230&DistCode=68478&AllCds=38684786041230,Jefferson Elementary,,Jefferson Elementary,99,345,828,9,5,A,A
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041305&DistCode=68478&AllCds=38684786041305,Lafayette Elementary,,Lafayette Elementary,99,293,760,7,3,2,762
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041321&DistCode=68478&AllCds=38684786041321,Lakeshore Elementary,,Lakeshore Elementary,99,360,791,8,4,1,792
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6040877&DistCode=68478&AllCds=38684786040877,Lau (Gordon J) Elementary,,Lau (Gordon J) Elementary,99,436,715,6,10,4,719
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041339&DistCode=68478&AllCds=38684786041339,Lawton Elementary,,Lawton Elementary,99,448,861,10,9,A,A
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6102479&DistCode=68478&AllCds=38684786102479,Lilienthal (Claire B.) Elementary,,Lilienthal (Claire B.) Elementary,99,416,826,9,5,A,A
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041362&DistCode=68478&AllCds=38684786041362,Longfellow Elementary,,Longfellow Elementary,98,375,793,8,10,1,794
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041586&DistCode=68478&AllCds=38684786041586,Malcolm X Academy (Elem),,Malcolm X Academy (Elem),96,239,570,2,4,12,582
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041412&DistCode=68478&AllCds=38684786041412,Marshall Elementary,,Marshall Elementary,100,172,539,2,2,13,552
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041016&DistCode=68478&AllCds=38684786041016,McCoppin (Frank) Elementary,,McCoppin (Frank) Elementary,99,199,768,8,8,2,770
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041420&DistCode=68478&AllCds=38684786041420,McKinley Elementary,,McKinley Elementary,100,124,615,3,3,9,624
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6040919&DistCode=68478&AllCds=38684786040919,Milk (Harvey) Civil Rights Elementary,,Milk (Harvey) Civil Rights Elementary,100,150,554,2,1,12,566
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041438&DistCode=68478&AllCds=38684786041438,Miraloma Elementary,,Miraloma Elementary,99,187,638,4,1,8,646
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041446&DistCode=68478&AllCds=38684786041446,Monroe Elementary,,Monroe Elementary,97,277,612,3,2,9,621
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6099154&DistCode=68478&AllCds=38684786099154,Moscone (George R.) Elementary,,Moscone (George R.) Elementary,99,228,765,8,10,2,767
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041255&DistCode=68478&AllCds=38684786041255,Muir (John) Elementary,,Muir (John) Elementary,94,170,520,1,3,14,534
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041271&DistCode=68478&AllCds=38684786041271,Ortega (Jose) Elementary,,Ortega (Jose) Elementary,99,210,676,5,2,6,682
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041206&DistCode=68478&AllCds=38684786041206,Parker (Jean) Elementary,,Parker (Jean) Elementary,98,236,686,5,9,6,692
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041503&DistCode=68478&AllCds=38684786041503,Parks (Rosa) Elementary,,Parks (Rosa) Elementary,99,190,677,5,9,6,683
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041065&DistCode=68478&AllCds=38684786041065,Peabody (George) Elementary,,Peabody (George) Elementary,99,146,787,8,10,1,788
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041511&DistCode=68478&AllCds=38684786041511,Redding Elementary,,Redding Elementary,99,184,713,6,6,4,717
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041487&DistCode=68478&AllCds=38684786041487,Revere (Paul) Elementary,,Revere (Paul) Elementary,96,314,509,1,1,15,524
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6089775&DistCode=68478&AllCds=38684786089775,Rooftop Elementary,,Rooftop Elementary,98,427,804,9,4,A,A
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6093488&DistCode=68478&AllCds=38684786093488,San Francisco Community Alternative,,San Francisco Community Alternative,96,210,687,5,4,6,693
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041545&DistCode=68478&AllCds=38684786041545,Sanchez Elementary,,Sanchez Elementary,96,194,516,1,2,14,530
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041289&DistCode=68478&AllCds=38684786041289,Serra (Junipero) Elementary,,Serra (Junipero) Elementary,100,182,583,3,3,11,594
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041560&DistCode=68478&AllCds=38684786041560,Sheridan Elementary,,Sheridan Elementary,99,227,640,4,4,8,648
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041578&DistCode=68478&AllCds=38684786041578,Sherman Elementary,,Sherman Elementary,98,231,784,8,9,1,785
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041594&DistCode=68478&AllCds=38684786041594,Spring Valley Elementary,,Spring Valley Elementary,97,264,719,6,10,4,723
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041602&DistCode=68478&AllCds=38684786041602,Starr King Elementary,,Starr King Elementary,95,154,545,2,4,13,558
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041529&DistCode=68478&AllCds=38684786041529,Stevenson (Robert Louis) Elementary,,Stevenson (Robert Louis) Elementary,99,290,828,9,9,A,A
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041610&DistCode=68478&AllCds=38684786041610,Sunnyside Elementary,,Sunnyside Elementary,95,190,681,5,5,6,687
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6113997&DistCode=68478&AllCds=38684786113997,Sunset Elementary,,Sunset Elementary,99,162,758,7,2,2,760
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041644&DistCode=68478&AllCds=38684786041644,Sutro Elementary,,Sutro Elementary,100,160,782,8,9,1,783
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041263&DistCode=68478&AllCds=38684786041263,Swett (John) Elementary,,Swett (John) Elementary,98,196,597,3,2,10,607
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6040943&DistCode=68478&AllCds=38684786040943,Taylor (Edward R.) Elementary,,Taylor (Edward R.) Elementary,99,444,723,6,9,4,727
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6115901&DistCode=68478&AllCds=38684786115901,Tenderloin Community,,Tenderloin Community,99,131,587,3,2,11,598
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041669&DistCode=68478&AllCds=38684786041669,Treasure Island Elementary,,Treasure Island Elementary,97,379,618,4,2,9,627
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041032&DistCode=68478&AllCds=38684786041032,Twenty-First Century Academy (Elem),,Twenty-First Century Academy (Elem),90,229,599,3,2,10,609
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041685&DistCode=68478&AllCds=38684786041685,Ulloa Elementary,,Ulloa Elementary,99,309,809,9,9,A,A
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041701&DistCode=68478&AllCds=38684786041701,Visitacion Valley Elementary,,Visitacion Valley Elementary,99,276,673,5,8,6,679
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6040893&DistCode=68478&AllCds=38684786040893,Webster (Daniel) Elementary,,Webster (Daniel) Elementary,99,257,604,3,5,10,614
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041727&DistCode=68478&AllCds=38684786041727,West Portal Elementary,,West Portal Elementary,99,359,823,9,5,A,A
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6040927&DistCode=68478&AllCds=38684786040927,William de Avila Elementary,,William de Avila Elementary,98,217,708,6,6,5,713
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041131&DistCode=68478&AllCds=38684786041131,Yick Wo Elementary,,Yick Wo Elementary,100,146,798,8,8,1,799
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6113245&DistCode=68478&AllCds=38684786113245,Yu (Alice Fong) Elementary,,Yu (Alice Fong) Elementary,100,271,827,9,2,A,A
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6059828&DistCode=68478&AllCds=38684786059828,A. P. Giannini Middle,,A. P. Giannini Middle,99,1200,783,9,8,1,784
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6062020&DistCode=68478&AllCds=38684786062020,Aptos Middle,,Aptos Middle,97,723,641,5,4,8,649
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6059836&DistCode=68478&AllCds=38684786059836,Benjamin Franklin Middle,,Benjamin Franklin Middle,88,400,509,1,1,15,524
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6113237&DistCode=68478&AllCds=38684786113237,Davis (Gloria R.) Middle,,Davis (Gloria R.) Middle,96,255,430,1,1,19,449
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6062038&DistCode=68478&AllCds=38684786062038,Everett Middle,,Everett Middle,98,468,497,1,1,15,512
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6059844&DistCode=68478&AllCds=38684786059844,Francisco Middle,,Francisco Middle,98,544,639,5,3,8,647
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6059851&DistCode=68478&AllCds=38684786059851,Herbert Hoover Middle,,Herbert Hoover Middle,98,1192,786,9,6,1,787
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6062046&DistCode=68478&AllCds=38684786062046,Horace Mann Middle,,Horace Mann Middle,100,564,579,3,2,11,590
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6059869&DistCode=68478&AllCds=38684786059869,James Denman Middle,,James Denman Middle,96,665,609,4,1,10,619
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6062053&DistCode=68478&AllCds=38684786062053,James Lick Middle,,James Lick Middle,97,480,553,2,3,12,565
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6059885&DistCode=68478&AllCds=38684786059885,King (Martin Luther Jr) Academic Middle,,King (Martin Luther Jr) Academic Middle,99,496,655,5,7,7,662
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6059877&DistCode=68478&AllCds=38684786059877,Luther Burbank Middle,,Luther Burbank Middle,97,608,547,2,1,13,560
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6062061&DistCode=68478&AllCds=38684786062061,Marina Middle,,Marina Middle,99,927,729,7,10,4,733
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6072052&DistCode=68478&AllCds=38684786072052,Potrero Hill Middle,,Potrero Hill Middle,91,281,460,1,1,17,477
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6062079&DistCode=68478&AllCds=38684786062079,Presidio Middle,,Presidio Middle,99,1081,818,9,6,A,A
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6059901&DistCode=68478&AllCds=38684786059901,Roosevelt Middle,,Roosevelt Middle,99,778,729,7,6,4,733
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6059919&DistCode=68478&AllCds=38684786059919,Visitacion Valley Middle,,Visitacion Valley Middle,99,507,579,3,4,11,590
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=3833241&DistCode=68478&AllCds=38684783833241,Abraham Lincoln High,,Abraham Lincoln High,96,1617,682,7,1,6,688
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=3830288&DistCode=68478&AllCds=38684783830288,Balboa High,,Balboa High,89,577,440,1,1,18,458
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=3830254&DistCode=68478&AllCds=38684783830254,Burton (Phillip & Sala) Academic High,,Burton (Phillip & Sala) Academic High,84,1008,570,3,3,12,582
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=3831765&DistCode=68478&AllCds=38684783831765,Galileo High,,Galileo High,87,1091,547,3,3,13,560
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=3830437&DistCode=68478&AllCds=38684783830437,Gateway High (Charter #141),,Gateway High (Charter #141),97,239,698,8,5,5,703
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=3839081&DistCode=68478&AllCds=38684783839081,George Washington High,,George Washington High,94,1497,692,7,3,5,697
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=3830353&DistCode=68478&AllCds=38684783830353,International Studies Academy,,International Studies Academy,92,338,543,3,6,13,556
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=3830411&DistCode=68478&AllCds=38684783830411,Leadership High (Char),,Leadership High (Char),97,213,711,8,10,4,715
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=3833407&DistCode=68478&AllCds=38684783833407,Lowell High,,Lowell High,98,1753,928,10,10,A,A
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=3830403&DistCode=68478&AllCds=38684783830403,Marshall (Thurgood) Academic High,,Marshall (Thurgood) Academic High,92,706,606,4,4,10,616
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=3830072&DistCode=68478&AllCds=38684783830072,McAteer (J. Eugene) High,,McAteer (J. Eugene) High,74,485,448,1,1,18,466
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=3834082&DistCode=68478&AllCds=38684783834082,Mission High,,Mission High,88,570,421,1,2,19,440
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=3834769&DistCode=68478&AllCds=38684783834769,O'Connell (John A.) High,,O'Connell (John A.) High,94,284,516,2,3,14,530
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=3830205&DistCode=68478&AllCds=38684783830205,Raoul Wallenberg Traditional High,,Raoul Wallenberg Traditional High,98,404,670,7,6,7,677
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=3830387&DistCode=68478&AllCds=38684783830387,School of the Arts (High),,School of the Arts (High),97,247,737,9,2,3,740
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6089569&DistCode=68478&AllCds=38684786089569,Chinese Education Center,,Chinese Education Center,100,15,357 *,1 *,N/A,22,379
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6112601&DistCode=68478&AllCds=38684786112601,Creative Arts Charter,,Creative Arts Charter,84,88,654 *,4 *,N/A,7,661
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6089577&DistCode=68478&AllCds=38684786089577,Filipino Education Center,,Filipino Education Center,100,21,781 *,8 *,N/A,1,782
http://data1.cde.ca.gov/dataquest/Flag01b4.htm?C=38&D=68478&S=3830197&SN=Independence%A0High%A0(Alter.)&DN=San%A0Francisco%A0Unified&CN=San%A0Francisco,Independence High (Alter.),,Independence High (Alter.),,,,,,,
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=3830429&DistCode=68478&AllCds=38684783830429,Life Learning Academy Charter #140,,Life Learning Academy Charter #140,80,36,451 *,1 *,N/A,17,468
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6089585&DistCode=68478&AllCds=38684786089585,Mission Education Center,,Mission Education Center,100,25,220 *,1 *,N/A,29,249
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6097919&DistCode=68478&AllCds=38684786097919,New Traditions Center,,New Traditions Center,96,97,709 *,6 *,N/A,5,714
