Source page: http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgcty.aspx?allcds=38,,,,,,,,
countylistof_link,countylistof_link/_text,countylistof_link/_title,countylistof_content,cdscode_number,schoollevele_value,2013growth_number,nonweighted_number,weightedyear_number
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041115,Grattan Elementary,,Grattan Elementary,38; 68478; 6041115,E,917,907,908
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041123,Guadalupe Elementary,,Guadalupe Elementary,38; 68478; 6041123,E,804,809,809
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786040760,Harte (Bret) Elementary,,Harte (Bret) Elementary,38; 68478; 6040760,E,648,651,651
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041156,Hillcrest Elementary,,Hillcrest Elementary,38; 68478; 6041156,E,756,729,728
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041230,Jefferson Elementary,,Jefferson Elementary,38; 68478; 6041230,E,924,910,911
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041008,Key (Francis Scott) Elementary,,Key (Francis Scott) Elementary,38; 68478; 6041008,E,889,891,891
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041602,King (Starr) Elementary,,King (Starr) Elementary,38; 68478; 6041602,E,812,797,797
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041305,Lafayette Elementary,,Lafayette Elementary,38; 68478; 6041305,E,913,913,913
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041321,Lakeshore Alternative Elementary,,Lakeshore Alternative Elementary,38; 68478; 6041321,E,771,,
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786040877,Lau (Gordon J.) Elementary,,Lau (Gordon J.) Elementary,38; 68478; 6040877,E,852,838,838
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041339,Lawton Alternative Elementary,,Lawton Alternative Elementary,38; 68478; 6041339,E,932,926,926
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786102479,Lilienthal (Claire) Elementary,,Lilienthal (Claire) Elementary,38; 68478; 6102479,E,921,910,910
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041362,Longfellow Elementary,,Longfellow Elementary,38; 68478; 6041362,E,793,810,810
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041586,Malcolm X Academy **,,Malcolm X Academy **,38; 68478; 6041586,E,711,742,740
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041412,Marshall Elementary,,Marshall Elementary,38; 68478; 6041412,E,783,775,775
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041016,McCoppin (Frank) Elementary,,McCoppin (Frank) Elementary,38; 68478; 6041016,E,841,838,837
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041420,McKinley Elementary,,McKinley Elementary,38; 68478; 6041420,E,900,863,864
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786040919,Milk (Harvey) Civil Rights Elementary,,Milk (Harvey) Civil Rights Elementary,38; 68478; 6040919,E,828,834,835
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041438,Miraloma Elementary,,Miraloma Elementary,38; 68478; 6041438,E,898,882,882
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786089585,Mission Education Center **,,Mission Education Center **,38; 68478; 6089585,E,401,433,427
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041446,Monroe Elementary,,Monroe Elementary,38; 68478; 6041446,E,806,810,810
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786099154,Moscone (George R.) Elementary,,Moscone (George R.) Elementary,38; 68478; 6099154,E,822,822,821
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041255,Muir (John) Elementary,,Muir (John) Elementary,38; 68478; 6041255,E,731,712,712
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786097919,New Traditions Elementary,,New Traditions Elementary,38; 68478; 6097919,E,873,854,855
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041271,Ortega (Jose) Elementary,,Ortega (Jose) Elementary,38; 68478; 6041271,E,857,835,837
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041206,Parker (Jean) Elementary,,Parker (Jean) Elementary,38; 68478; 6041206,E,830,835,835
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041503,Parks (Rosa) Elementary,,Parks (Rosa) Elementary,38; 68478; 6041503,E,799,779,780
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041065,Peabody (George) Elementary,,Peabody (George) Elementary,38; 68478; 6041065,E,905,912,911
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041511,Redding Elementary,,Redding Elementary,38; 68478; 6041511,E,834,835,835
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041487,Revere (Paul) Elementary,,Revere (Paul) Elementary,38; 68478; 6041487,E,772,736,736
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786089775,Rooftop Elementary,,Rooftop Elementary,38; 68478; 6089775,E,880,875,875
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786093488,San Francisco Community Alternative,,San Francisco Community Alternative,38; 68478; 6093488,E,747,766,766
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684780123117,San Francisco Public Montessori **,,San Francisco Public Montessori **,38; 68478; 123117,E,732,,
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041545,Sanchez Elementary,,Sanchez Elementary,38; 68478; 6041545,E,744,732,733
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041289,Serra (Junipero) Elementary,,Serra (Junipero) Elementary,38; 68478; 6041289,E,752,737,737
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041560,Sheridan Elementary,,Sheridan Elementary,38; 68478; 6041560,E,803,788,788
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041578,Sherman Elementary,,Sherman Elementary,38; 68478; 6041578,E,932,924,924
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786040851,Sloat (Commodore) Elementary,,Sloat (Commodore) Elementary,38; 68478; 6040851,E,901,890,890
