Source page: http://data1.cde.ca.gov/dataquest/APIBase2006/2005Base_Co.aspx?cYear=&cSelect=38,SAN,FRANCISCO,,,,,,,,,,
col_link,col_link/_text,col_link/_title,links,links/_text,links/_title,col_number_1,col_number_2,ranks_value_1,ranks_value_2,targets_value_1,targets_value_2,links_numbers
,,,http://www.cde.ca.gov/ta/ac/ap/glossary06b.asp#ga2; http://www.cde.ca.gov/ta/ac/ap/glossary06b.asp#ga3; http://www.cde.ca.gov/ta/ac/ap/glossary06b.asp#ga4; http://www.cde.ca.gov/ta/ac/ap/glossary06b.asp#ga5; http://www.cde.ca.gov/ta/ac/ap/glossary06b.asp#ga6; http://www.cde.ca.gov/ta/ac/ap/glossary06b.asp#ga7,Number of Students Included in the 2005 API; 2005 API Base; 2005 Statewide Rank; 2005 Similar Schools Rank; 2005-06 Growth Target; 2006 API Target,,,,,,,,2005; 2005; 2005; 2005; 2005; 6; 2006
http://data1.cde.ca.gov/dataquest/APIBase2006/2005BaseSch.aspx?cYear=2004-05&allcds=38684786040760,Harte (Bret) Elementary,,,,,182,648,2,3,8,656
http://data1.cde.ca.gov/dataquest/APIBase2006/2005BaseSch.aspx?cYear=2004-05&allcds=38684786041156,Hillcrest Elementary,,,,,294,634,1,1,8,642
http://data1.cde.ca.gov/dataquest/APIBase2006/2005BaseSch.aspx?cYear=2004-05&allcds=38684786041230,Jefferson Elementary,,,,,315,862,9,5,A,A
http://data1.cde.ca.gov/dataquest/APIBase2006/2005BaseSch.aspx?cYear=2004-05&allcds=38684780101337,KIPP Bayview Academy,,,,,145,711,4,8,4,715
http://data1.cde.ca.gov/dataquest/APIBase2006/2005BaseSch.aspx?cYear=2004-05&allcds=38684780101352,KIPP San Francisco Bay Academy,,,,,110,698,3,7,5,703
http://data1.cde.ca.gov/dataquest/APIBase2006/2005BaseSch.aspx?cYear=2004-05&allcds=38684786041305,Lafayette Elementary,,,,,268,808,8,3,A,A
http://data1.cde.ca.gov/dataquest/APIBase2006/2005BaseSch.aspx?cYear=2004-05&allcds=38684786041321,Lakeshore Elementary,,,,,375,805,8,2,A,A
http://data1.cde.ca.gov/dataquest/APIBase2006/2005BaseSch.aspx?cYear=2004-05&allcds=38684786040877,Lau (Gordon J) Elementary,,,,,435,789,7,6,1,790
http://data1.cde.ca.gov/dataquest/APIBase2006/2005BaseSch.aspx?cYear=2004-05&allcds=38684786041339,Lawton Elementary,,,,,474,877,9,6,A,A
http://data1.cde.ca.gov/dataquest/APIBase2006/2005BaseSch.aspx?cYear=2004-05&allcds=38684786102479,Lilienthal (Claire B.) Elementary,,,,,525,868,9,4,A,A
http://data1.cde.ca.gov/dataquest/APIBase2006/2005BaseSch.aspx?cYear=2004-05&allcds=38684786041362,Longfellow Elementary,,,,,363,783,7,3,1,784
http://data1.cde.ca.gov/dataquest/APIBase2006/2005BaseSch.aspx?cYear=2004-05&allcds=38684786041586,Malcolm X Academy (Elem),,,,,107,620,1,2,9,629
http://data1.cde.ca.gov/dataquest/APIBase2006/2005BaseSch.aspx?cYear=2004-05&allcds=38684786041412,Marshall Elementary,,,,,145,633,1,1,8,641
http://data1.cde.ca.gov/dataquest/APIBase2006/2005BaseSch.aspx?cYear=2004-05&allcds=38684786041016,McCoppin (Frank) Elementary,,,,,185,774,6,6,1,775
http://data1.cde.ca.gov/dataquest/APIBase2006/2005BaseSch.aspx?cYear=2004-05&allcds=38684786041420,McKinley Elementary,,,,,110,771,6,10,1,772
http://data1.cde.ca.gov/dataquest/APIBase2006/2005BaseSch.aspx?cYear=2004-05&allcds=38684786040919,Milk (Harvey) Civil Rights Element,,,,,145,766,6,8,2,768
