Source page: http://data1.cde.ca.gov/dataquest/Acnt2013/2012Base_Co.aspx?cYear=&cSelect=38,SAN,FRANCISCO,,,,,,,,,,,
col_link,col_link/_text,col_link/_title,links,links/_text,links/_title,col_content,col_number_1,col_number_2,ranks_value_1,ranks_value_2,targets_value_1,targets_value_2,links_numbers
,,,http://www.cde.ca.gov/ta/ac/ap/glossary13b.asp#ga2; http://www.cde.ca.gov/ta/ac/ap/glossary13b.asp#ga3; http://www.cde.ca.gov/ta/ac/ap/glossary13b.asp#ga4; http://www.cde.ca.gov/ta/ac/ap/glossary13b.asp#ga5; http://www.cde.ca.gov/ta/ac/ap/glossary13b.asp#ga6; http://www.cde.ca.gov/ta/ac/ap/glossary13b.asp#ga7,Number of Students Included in the 2012 API; 2012 Base API; 2012 Statewide Rank; 2012 Similar Schools Rank; 2012 -13 Growth Target; 2013 API Target,,,,,,,,,2012; 2012; 2012; 2012; 2012; -13; 2013
http://data1.cde.ca.gov/dataquest/Acnt2013/2012Base_DstAPI.aspx?cYear=2012-13&allcds=3810389&cChoice=2012BApiD,San Francisco County Office of,,,,,San Francisco County Office of,159,404,B,B,B,B,
,,,,,,Small Schools,,,,,,,
http://data1.cde.ca.gov/dataquest/Acnt2013/Flag12BaseSch.aspx?flag=6&allcds=38103896069561,S.F. County Special Education,,,,,S.F. County Special Education,,,,,,,
,,,,,,ASAM Schools,,,,,,,
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041040,Garfield Elementary,,,,,Garfield Elementary,150,862,8,6,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684780123265,Gateway Middle,,,,,Gateway Middle,103,850,7,7,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041073,Glen Park Elementary,,,,,Glen Park Elementary,210,777,3,3,5,782
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041115,Grattan Elementary,,,,,Grattan Elementary,237,922,10,8,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041123,Guadalupe Elementary,,,,,Guadalupe Elementary,306,819,6,6,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786040760,Harte (Bret) Elementary,,,,,Harte (Bret) Elementary,136,658,1,1,7,665
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041156,Hillcrest Elementary,,,,,Hillcrest Elementary,281,723,1,1,5,728
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041230,Jefferson Elementary,,,,,Jefferson Elementary,312,909,9,5,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041008,Key (Francis Scott) Elementary,,,,,Key (Francis Scott) Elementary,333,899,9,4,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041602,King (Starr) Elementary,,,,,King (Starr) Elementary,221,791,4,1,5,796
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041305,Lafayette Elementary,,,,,Lafayette Elementary,352,919,9,5,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041321,Lakeshore Alternative Elementary,,,,,Lakeshore Alternative Elementary,330,772,3,1,5,777
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786040877,Lau (Gordon J.) Elementary,,,,,Lau (Gordon J.) Elementary,420,832,6,5,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041339,Lawton Alternative Elementary,,,,,Lawton Alternative Elementary,473,928,10,10,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786102479,Lilienthal (Claire) Elementary,,,,,Lilienthal (Claire) Elementary,503,904,9,4,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041362,Longfellow Elementary,,,,,Longfellow Elementary,392,811,5,3,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041412,Marshall Elementary,,,,,Marshall Elementary,151,770,3,6,5,775
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041016,McCoppin (Frank) Elementary,,,,,McCoppin (Frank) Elementary,159,805,5,1,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041420,McKinley Elementary,,,,,McKinley Elementary,204,863,8,6,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786040919,Milk (Harvey) Civil Rights Elementary,,,,,Milk (Harvey) Civil Rights Elementary,159,854,7,7,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041438,Miraloma Elementary,,,,,Miraloma Elementary,238,884,8,1,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041446,Monroe Elementary,,,,,Monroe Elementary,326,806,5,2,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786099154,Moscone (George R.) Elementary,,,,,Moscone (George R.) Elementary,222,798,4,4,2,800
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041255,Muir (John) Elementary,,,,,Muir (John) Elementary,127,714,1,3,5,719
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786097919,New Traditions Elementary,,,,,New Traditions Elementary,133,853,7,4,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041271,Ortega (Jose) Elementary,,,,,Ortega (Jose) Elementary,168,842,7,3,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041206,Parker (Jean) Elementary,,,,,Parker (Jean) Elementary,186,830,6,4,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041503,Parks (Rosa) Elementary,,,,,Parks (Rosa) Elementary,224,793,4,3,5,798
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041065,Peabody (George) Elementary,,,,,Peabody (George) Elementary,147,926,10,9,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041511,Redding Elementary,,,,,Redding Elementary,198,835,6,8,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041487,Revere (Paul) Elementary,,,,,Revere (Paul) Elementary,291,754,2,3,5,759
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786089775,Rooftop Elementary,,,,,Rooftop Elementary,447,877,8,6,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786093488,San Francisco Community Alternative,,,,,San Francisco Community Alternative,210,778,3,2,5,783
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041545,Sanchez Elementary,,,,,Sanchez Elementary,173,760,3,5,5,765
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041289,Serra (Junipero) Elementary,,,,,Serra (Junipero) Elementary,171,712,1,1,5,717
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041560,Sheridan Elementary,,,,,Sheridan Elementary,124,770,3,3,5,775
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041578,Sherman Elementary,,,,,Sherman Elementary,269,906,9,7,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786040851,Sloat (Commodore) Elementary,,,,,Sloat (Commodore) Elementary,252,883,8,5,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041594,Spring Valley Elementary,,,,,Spring Valley Elementary,208,834,6,8,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041529,Stevenson (Robert Louis) Elementary,,,,,Stevenson (Robert Louis) Elementary,316,931,10,9,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041610,Sunnyside Elementary,,,,,Sunnyside Elementary,213,825,6,2,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786113997,Sunset Elementary,,,,,Sunset Elementary,253,917,9,3,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041644,Sutro Elementary,,,,,Sutro Elementary,146,876,8,2,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786040943,Taylor (Edward R.) Elementary,,,,,Taylor (Edward R.) Elementary,430,879,8,10,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786115901,Tenderloin Community,,,,,Tenderloin Community,243,745,2,1,5,750
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041685,Ulloa Elementary,,,,,Ulloa Elementary,323,937,10,10,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041701,Visitacion Valley Elementary,,,,,Visitacion Valley Elementary,266,781,4,2,5,786
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786040893,Webster (Daniel) Elementary,,,,,Webster (Daniel) Elementary,114,703,1,1,5,708
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041727,West Portal Elementary,,,,,West Portal Elementary,381,905,9,2,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041131,Yick Wo Elementary,,,,,Yick Wo Elementary,174,915,9,10,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786113245,Yu (Alice Fong) Elementary,,,,,Yu (Alice Fong) Elementary,422,954,10,9,A,A
,,,,,,Middle Schools,,,,,,
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786062020,Aptos Middle,,,,,Aptos Middle,968,821,6,4,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786059869,Denman (James) Middle,,,,,Denman (James) Middle,575,732,2,2,5,737
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786062038,Everett Middle,,,,,Everett Middle,304,692,1,6,5,697
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786059844,Francisco Middle,,,,,Francisco Middle,505,709,2,1,5,714
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786059828,Giannini (A.P.) Middle,,,,,Giannini (A.P.) Middle,1178,882,9,5,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786059851,Hoover (Herbert) Middle,,,,,Hoover (Herbert) Middle,1055,823,6,2,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786059885,King Jr. (Martin Luther) Academic Middle,,,,,King Jr. (Martin Luther) Academic Middle,489,694,1,2,5,699
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684780101337,KIPP Bayview Academy,,,,,KIPP Bayview Academy,238,865,8,10,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684780101352,KIPP San Francisco Bay Academy,,,,,KIPP San Francisco Bay Academy,341,906,9,10,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786062053,Lick (James) Middle,,,,,Lick (James) Middle,541,749,3,4,5,754
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786062061,Marina Middle,,,,,Marina Middle,790,809,6,4,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786062079,Presidio Middle,,,,,Presidio Middle,1151,899,9,8,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786059901,Roosevelt Middle,,,,,Roosevelt Middle,705,858,8,7,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786059919,Visitacion Valley Middle,,,,,Visitacion Valley Middle,322,645,1,2,8,653
,,,,,,High Schools,,,,,,
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684780119958,Academy of Arts and Sciences,,,,,Academy of Arts and Sciences,229,699,3,3,5,704
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684783830387,Asawa (Ruth) San Francisco School of the,,,,,Asawa (Ruth) San Francisco School of the,417,874,10,6,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684783830288,Balboa High,,,,,Balboa High,952,780,6,8,5,785
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684783830254,Burton (Phillip and Sala) Academic High,,,,,Burton (Phillip and Sala) Academic High,609,724,4,2,5,729
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684780107300,City Arts and Tech High,,,,,City Arts and Tech High,305,692,3,6,5,697
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684783831765,Galileo High,,,,,Galileo High,1553,785,7,4,5,790
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684783830437,Gateway High,,,,,Gateway High,343,763,6,4,5,768
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684783830353,International Studies Academy,,,,,International Studies Academy,287,647,1,6,8,655
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684780102103,Jordan (June) School for Equity,,,,,Jordan (June) School for Equity,172,586,1,4,11,597
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684783830411,Leadership High,,,,,Leadership High,182,648,1,2,8,656
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684783833241,Lincoln (Abraham) High,,,,,Lincoln (Abraham) High,1380,772,6,4,5,777
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684783833407,Lowell High,,,,,Lowell High,1953,956,10,10,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684783830403,Marshall (Thurgood) High,,,,,Marshall (Thurgood) High,367,654,2,2,7,661
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684783834082,Mission High,,,,,Mission High,557,640,1,1,8,648
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684783834769,O'Connell (John) High,,,,,O'Connell (John) High,307,666,2,8,7,673
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684780119875,S.F. International High,,,,,S.F. International High,142,476,1,1,16,492
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684783830205,Wallenberg (Raoul) Traditional High,,,,,Wallenberg (Raoul) Traditional High,469,801,7,7,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684783839081,Washington (George) High,,,,,Washington (George) High,1360,786,7,5,5,791
,,,,,,Small Schools,,,,,,
